/* DATA DESCRIPTION:
Citation:	Singh, Dharmendra Pratap (2026): δ¹⁵N and TN records of sediment core SSD004 GC11 [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.993903, 
	In: Singh, DP (2026): Basin-scale Arabian Sea denitrification reconstruction based on δ¹⁵N records including core SSD004 GC11 [dataset bundled publication]. PANGAEA, https://doi.org/10.1594/PANGAEA.993898
Abstract:	This dataset provides nitrogen isotopic composition (δ¹⁵N) and total nitrogen (TN) measurements from marine sediment core SSD004 GC11 in the southern Arabian Sea covering the last ~167 ka. The records document variability in water-column denitrification, an important control on marine nitrogen cycling and atmospheric N₂O emissions. δ¹⁵N values indicate strong coupling between primary productivity and denitrification during warm intervals, with weaker coupling during cold periods despite continued productivity linked to winter monsoon mixing.
Keyword(s):	Arabian Sea; d15N; Sedimentary geochemistry; Stack; TN
Related to:	Pawar, Rahul; Singh, Dharmendra Pratap; Saraswat, Rajeev; Maurya, Abhayanand Singh (2026): Orbital forcing regulated Arabian Sea denitrification during the late Pleistocene. Global and Planetary Change, 259, 105373, https://doi.org/10.1016/j.gloplacha.2026.105373
Funding:	Science and Engineering Research Board (SERB), grant/award no. SRG/2021/000620
Coverage:	LATITUDE: 6.000000 * LONGITUDE: 78.931200
	MINIMUM DEPTH, sediment/rock: 0.005 m * MAXIMUM DEPTH, sediment/rock: 5.835 m
Event(s):	SSD004_GC11 * LATITUDE: 6.000000 * LONGITUDE: 78.931200 * ELEVATION: -2901.0 m * BASIS: Sindhu Sadhana (URI: https://www.nio.res.in/research/research-vessels/rv-sindhu-sadhana) * METHOD/DEVICE: Gravity corer (GC)
Parameter(s):	DEPTH, sediment/rock [m] (Depth sed) * GEOCODE * PI: Singh, Dharmendra Pratap (https://orcid.org/0000-0001-5563-1633, dharmendra.singh@es.iitr.ac.in)
	Depth, sediment/rock, top/minimum [m] (Depth sed top) * PI: Singh, Dharmendra Pratap (https://orcid.org/0000-0001-5563-1633, dharmendra.singh@es.iitr.ac.in)
	Depth, sediment/rock, bottom/maximum [m] (Depth sed bot) * PI: Singh, Dharmendra Pratap (https://orcid.org/0000-0001-5563-1633, dharmendra.singh@es.iitr.ac.in)
	AGE [ka BP] (Age) * GEOCODE * PI: Singh, Dharmendra Pratap (https://orcid.org/0000-0001-5563-1633, dharmendra.singh@es.iitr.ac.in)
	δ15N, bulk sediment [‰ air] (δ15N bulk) * PI: Singh, Dharmendra Pratap (https://orcid.org/0000-0001-5563-1633, dharmendra.singh@es.iitr.ac.in) * METHOD/DEVICE: Isotope Ratio Mass Spectrometer (IRMS) Thermo Fisher Scientific, MAT 253 Plus
	Nitrogen, total [%] (TN) * PI: Singh, Dharmendra Pratap (https://orcid.org/0000-0001-5563-1633, dharmendra.singh@es.iitr.ac.in) * METHOD/DEVICE: Isotope Ratio Mass Spectrometer (IRMS) Thermo Fisher Scientific, MAT 253 Plus * COMMENT: wt. %
	Tephra/volcanic ash (Tephra) * PI: Singh, Dharmendra Pratap (https://orcid.org/0000-0001-5563-1633, dharmendra.singh@es.iitr.ac.in)
License:	Creative Commons Attribution 4.0 International (CC-BY-4.0) (URI: https://creativecommons.org/licenses/by/4.0/)
Status:	Curation Level: Enhanced curation (URI: https://wiki.pangaea.de/wiki/Curation_levels)
Size:	2333 data points
*/
Depth sed [m]	Depth sed top [m]	Depth sed bot [m]	Age [ka BP]	δ15N bulk [‰ air]	TN [%]	Tephra
0.005	0.00	0.01	0.76	7.45	0.17	
0.015	0.01	0.02	1.08	7.81	0.17	
0.025	0.02	0.03	2.17	7.66	0.17	
0.035	0.03	0.04	2.90	7.43	0.17	
0.045	0.04	0.05	3.37	7.56	0.17	
0.055	0.05	0.06	3.77	7.84	0.16	
0.065	0.06	0.07	4.16	7.80	0.16	
0.075	0.07	0.08	4.56	7.86	0.15	
0.085	0.08	0.09	4.97	7.97	0.15	
0.095	0.09	0.10	5.29	7.72	0.15	
0.105	0.10	0.11	5.56	7.70	0.15	
0.115	0.11	0.12	5.78	7.60	0.14	
0.125	0.12	0.13	5.97	7.78	0.14	
0.135	0.13	0.14	6.18	7.51	0.15	
0.145	0.14	0.15	6.36	7.74	0.15	
0.155	0.15	0.16	6.56	7.64	0.14	
0.165	0.16	0.17	6.73	7.80	0.14	
0.175	0.17	0.18	6.91	7.57	0.14	
0.185	0.18	0.19	7.10	7.58	0.14	
0.195	0.19	0.20	7.29	7.48	0.13	
0.205	0.20	0.21	7.43	7.44	0.14	
0.215	0.21	0.22	7.60	7.67	0.13	
0.225	0.22	0.23	7.78	7.70	0.13	
0.235	0.23	0.24	7.92	7.71	0.12	
0.245	0.24	0.25	8.11	7.63	0.12	
0.255	0.25	0.26	8.28	7.47	0.13	
0.265	0.26	0.27	8.46	7.97	0.12	
0.275	0.27	0.28	8.64	7.87	0.12	
0.285	0.28	0.29	8.79	7.58	0.12	
0.295	0.29	0.30	8.97	7.63	0.12	
0.305	0.30	0.31	9.16	7.92	0.12	
0.315	0.31	0.32	9.33	7.85	0.12	
0.325	0.32	0.33	9.51	8.02	0.11	
0.335	0.33	0.34	9.70	7.83	0.12	
0.345	0.34	0.35	9.85	7.41	0.11	
0.355	0.35	0.36	9.99	7.74	0.12	
0.365	0.36	0.37	10.16	7.89	0.12	
0.375	0.37	0.38	10.32	7.65	0.11	
0.385	0.38	0.39	10.48	7.65	0.11	
0.395	0.39	0.40	10.65	7.60	0.11	
0.405	0.40	0.41	10.78	8.16	0.10	
0.415	0.41	0.42	10.92	8.12	0.10	
0.425	0.42	0.43	11.09	8.70	0.10	
0.435	0.43	0.44	11.25	8.08	0.11	
0.445	0.44	0.45	11.44	7.93	0.09	
0.455	0.45	0.46	11.62	7.93	0.10	
0.465	0.46	0.47	11.78	7.70	0.10	
0.475	0.47	0.48	11.92	8.09	0.09	
0.485	0.48	0.49	12.11	8.11	0.09	
0.495	0.49	0.50	12.29	8.81	0.08	
0.505	0.50	0.51	12.49	7.80	0.07	
0.515	0.51	0.52	12.68	7.29	0.07	
0.525	0.52	0.53	12.87	7.66	0.08	
0.535	0.53	0.54	13.06	7.48	0.07	
0.545	0.54	0.55	13.26	7.51	0.07	
0.555	0.55	0.56	13.46	7.08	0.07	
0.565	0.56	0.57	13.77	6.73	0.07	
0.575	0.57	0.58	15.02	7.14	0.07	
0.585	0.58	0.59	15.29	7.24	0.06	
0.595	0.59	0.60	15.49	8.55	0.07	
0.605	0.60	0.61	15.72	6.95	0.06	
0.615	0.61	0.62	15.92	6.95	0.07	
0.625	0.62	0.63	16.10	6.87	0.07	
0.635	0.63	0.64	16.29	6.37	0.08	
0.645	0.64	0.65	16.47	6.04	0.09	
0.655	0.65	0.66	16.64	6.35	0.11	
0.665	0.66	0.67	16.84	6.68	0.11	
0.675	0.67	0.68	17.02	6.92	0.11	
0.685	0.68	0.69	17.19	6.61	0.13	
